CH7110,Physikalische Chemie 2 ,Professur für Dynamische Spektroskopien (Prof. Hauer) ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"HO10, Hörsaal 16 Carl-Kronacher-Hörsaal (WZWH16) (4214.EG.010) ",12.04.2023,10:45  ,11:30
CH7110,Physikalische Chemie 2 ,Professur für Dynamische Spektroskopien (Prof. Hauer) ,Prüfungstermin,Modulprüfung,geplant,"HO10, Hörsaal 16 Carl-Kronacher-Hörsaal (WZWH16) (4214.EG.010) ",12.04.2023,11:30  ,12:30
CH7110,Physikalische Chemie 2 ,Professur für Dynamische Spektroskopien (Prof. Hauer) ,Nachbereitung,Modulprüfung,geplant,"HO10, Hörsaal 16 Carl-Kronacher-Hörsaal (WZWH16) (4214.EG.010) ",12.04.2023,12:30  ,13:00
CH4107,Anorganische Festkörperchemie und Organometallchemie ,Lehrstuhl für Anorganische Chemie mit Schwerpunkt Neue Materialien (Prof. Fässler) ,Aufbau u. Vorbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",06.04.2023,13:30  ,14:15
CH4107,Anorganische Festkörperchemie und Organometallchemie ,Lehrstuhl für Anorganische Chemie mit Schwerpunkt Neue Materialien (Prof. Fässler) ,Prüfungstermin,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",06.04.2023,14:15  ,15:45
CH4107,Anorganische Festkörperchemie und Organometallchemie ,Lehrstuhl für Anorganische Chemie mit Schwerpunkt Neue Materialien (Prof. Fässler) ,Nachbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",06.04.2023,15:45  ,16:15
CH4118,Molekülspektroskopie ,Lehrstuhl für Physikalische Chemie (Prof. Heiz) ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 1050, Johann-Bauschinger-Zeichensaal (5510.01.050) ",05.04.2023,10:45  ,11:30
CH4118,Molekülspektroskopie ,Lehrstuhl für Physikalische Chemie (Prof. Heiz) ,Prüfungstermin,Modulprüfung,fix,"MW 1050, Johann-Bauschinger-Zeichensaal (5510.01.050) ",05.04.2023,11:30  ,13:30
CH4118,Molekülspektroskopie ,Lehrstuhl für Physikalische Chemie (Prof. Heiz) ,Nachbereitung,Modulprüfung,fix,"MW 1050, Johann-Bauschinger-Zeichensaal (5510.01.050) ",05.04.2023,13:30  ,14:00
CH0263,Biophysikalische Chemie ,Professur für Dynamische Spektroskopien (Prof. Hauer) ,Aufbau u. Vorbereitung,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",14.02.2023,10:15  ,11:00
CH0263,Biophysikalische Chemie ,Professur für Dynamische Spektroskopien (Prof. Hauer) ,Prüfungstermin,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",14.02.2023,11:00  ,13:00
CH0263,Biophysikalische Chemie ,Professur für Dynamische Spektroskopien (Prof. Hauer) ,Nachbereitung,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",14.02.2023,13:00  ,13:30
CH6202,Allgemeine und Anorganische Chemie ,Lehrstuhl für Bauchemie (Prof. Gädt) ,Aufbau u. Vorbereitung,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,14.02.2023,10:45  ,11:30
