IN2361,Natural Language Processing ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"1450, Willy-Messerschmitt-Zeichensaal (5504.01.450) ",14.04.2023,16:15  ,17:00
IN2361,Natural Language Processing ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,geplant,"1450, Willy-Messerschmitt-Zeichensaal (5504.01.450) ",14.04.2023,17:00  ,19:00
IN2361,Natural Language Processing ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,geplant,"1450, Willy-Messerschmitt-Zeichensaal (5504.01.450) ",14.04.2023,19:00  ,19:30
IN2361,Natural Language Processing ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"1350, Ludwig-Burmester-Zeichensaal (5503.01.350) ",14.04.2023,16:15  ,17:00
IN2361,Natural Language Processing ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,geplant,"1350, Ludwig-Burmester-Zeichensaal (5503.01.350) ",14.04.2023,17:00  ,19:00
IN2361,Natural Language Processing ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,geplant,"1350, Ludwig-Burmester-Zeichensaal (5503.01.350) ",14.04.2023,19:00  ,19:30
IN2361,Natural Language Processing ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"1550, Georg-Kühne-Zeichensaal (5505.01.550) ",14.04.2023,16:15  ,17:00
IN2361,Natural Language Processing ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,geplant,"1550, Georg-Kühne-Zeichensaal (5505.01.550) ",14.04.2023,17:00  ,19:00
IN2361,Natural Language Processing ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,geplant,"1550, Georg-Kühne-Zeichensaal (5505.01.550) ",14.04.2023,19:00  ,19:30
IN0009,Grundlagen: Betriebssysteme und Systemsoftware ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,12.04.2023,10:45  ,11:30
IN0009,Grundlagen: Betriebssysteme und Systemsoftware ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,12.04.2023,11:30  ,13:00
IN0009,Grundlagen: Betriebssysteme und Systemsoftware ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,12.04.2023,13:00  ,13:30
IN0009,Grundlagen: Betriebssysteme und Systemsoftware ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",12.04.2023,10:45  ,11:30
