MA5417,Große Abweichungen ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"BC2 0.01.17, Hörsaal (8102.EG.117) ",14.04.2023,13:30  ,14:15
MA5417,Große Abweichungen ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,geplant,"BC2 0.01.17, Hörsaal (8102.EG.117) ",14.04.2023,14:15  ,15:15
MA5417,Große Abweichungen ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,geplant,"BC2 0.01.17, Hörsaal (8102.EG.117) ",14.04.2023,15:15  ,15:45
MA3403,Allgemeine Lineare Modelle ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"BC2 0.01.17, Hörsaal (8102.EG.117) ",04.04.2023,10:15  ,11:00
MA3403,Allgemeine Lineare Modelle ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,geplant,"BC2 0.01.17, Hörsaal (8102.EG.117) ",04.04.2023,11:00  ,12:30
MA3403,Allgemeine Lineare Modelle ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,geplant,"BC2 0.01.17, Hörsaal (8102.EG.117) ",04.04.2023,12:30  ,13:00
MA3601,Mathematische Modelle in der Biologie ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"1450, Willy-Messerschmitt-Zeichensaal (5504.01.450) ",04.04.2023,13:30  ,14:15
MA3601,Mathematische Modelle in der Biologie ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,geplant,"1450, Willy-Messerschmitt-Zeichensaal (5504.01.450) ",04.04.2023,14:15  ,15:45
MA3601,Mathematische Modelle in der Biologie ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,geplant,"1450, Willy-Messerschmitt-Zeichensaal (5504.01.450) ",04.04.2023,15:45  ,16:15
MA0902,Analysis für Informatik ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,11.04.2023,13:30  ,14:15
MA0902,Analysis für Informatik ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,11.04.2023,14:15  ,15:45
MA0902,Analysis für Informatik ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,11.04.2023,15:45  ,16:15
MA0902,Analysis für Informatik ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",11.04.2023,13:30  ,14:15
MA0902,Analysis für Informatik ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",11.04.2023,14:15  ,15:45
MA0902,Analysis für Informatik ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",11.04.2023,15:45  ,16:15
MA0902,Analysis für Informatik ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,11.04.2023,13:30  ,14:15
MA0902,Analysis für Informatik ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,11.04.2023,14:15  ,15:45
MA0902,Analysis für Informatik ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,11.04.2023,15:45  ,16:15
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"N 1189, Hans-Piloty-Hörsaal (0101.02.189) ",12.04.2023,13:30  ,14:15
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"N 1189, Hans-Piloty-Hörsaal (0101.02.189) ",12.04.2023,14:15  ,15:45
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"N 1189, Hans-Piloty-Hörsaal (0101.02.189) ",12.04.2023,15:45  ,16:15
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"0980, Audimax (0509.EG.980) ",12.04.2023,13:30  ,14:15
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"0980, Audimax (0509.EG.980) ",12.04.2023,14:15  ,15:45
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"0980, Audimax (0509.EG.980) ",12.04.2023,15:45  ,16:15
