IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",10.10.2023,13:00  ,13:30
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",10.10.2023,13:30  ,15:30
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",10.10.2023,15:30  ,16:00
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"1350, Ludwig-Burmester-Zeichensaal (5503.01.350) ",10.10.2023,13:00  ,13:30
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"1350, Ludwig-Burmester-Zeichensaal (5503.01.350) ",10.10.2023,13:30  ,15:30
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"1350, Ludwig-Burmester-Zeichensaal (5503.01.350) ",10.10.2023,15:30  ,16:00
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"003, Hörsaal 2, ""Interims II"" (5416.01.003) ",10.10.2023,13:00  ,13:30
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"003, Hörsaal 2, ""Interims II"" (5416.01.003) ",10.10.2023,13:30  ,15:30
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"003, Hörsaal 2, ""Interims II"" (5416.01.003) ",10.10.2023,15:30  ,16:00
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,10.10.2023,13:00  ,13:30
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,10.10.2023,13:30  ,15:30
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,10.10.2023,15:30  ,16:00
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,31.07.2023,13:00  ,13:30
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,31.07.2023,13:30  ,15:30
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,31.07.2023,15:30  ,16:00
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",31.07.2023,13:00  ,13:30
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",31.07.2023,13:30  ,15:30
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",31.07.2023,15:30  ,16:00
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"019, LMU Hörsaal im Physik Werkstattgebäude (5123.EG.019) ",31.07.2023,13:00  ,13:30
IN0003,Funktionale Programmierung und Verifikation ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"019, LMU Hörsaal im Physik Werkstattgebäude (5123.EG.019) ",31.07.2023,13:30  ,15:30
